,ratings,reviews
0,5,"Highly recommendedGreat Phone at this Price point. Superb cool Design.. Good battery, display and overall performance is superb..Back camera good...Front Camera is average."
1,4,"Really NiceGood mobile poco m3Pros: Fullhd display, smooth tocuh response,6000mah battery, avarage weight, back disign amazing,no heatting issue,decent back cameraExcellent sound quality it's very clearCons: front camara not take a clear picture,Charging time to long .50% charging time 1 hour 35 minutes.Ovarall the price segment this mobile good"
2,5,WonderfulGood phone battery🔋 And camera This price point good phone 🟡 color is so cool😁😁😁 I will get fast sale thank you flipkart
3,5,"TerrificOne word review "" Value for Money""It has the potential to be a nice casual daily driverSpeakers are loud...like seriously loud.Screen size is goodThough being a LCD screen it produces decent colours. For the price at which it comes that more than enough.Camera is neither the best nor the worst, it's quite good for this price point.6000 mA battery 🔋👍🏻Though it comes with a lot of bloatware but you can just uninstall most of them (excluding system apps)Finally the Verdict is that it'..."
4,4,Worth the moneySound quality super 3 type sound but camera selfie camera is not good &Back camera is normally or value of moneyTotally side & angel to seen to parfect
5,5,"Simply awesomeMobile is good... I bought the yellow one... Front and rear cameras are good too... But the con is pics aren't tht clear when we zoom in a lot...the picture quality is too good for short range pics as you can see... The first one or the buildings one is taken with max zoom... No heating issues with battery or while charging.... I use it for browsing, listening songs, to read books texting and calling... So on a single charge I can use it for two days... With apporx 18hrs of usage of above act..."
6,4,Wonderful1. Phone is perfect but Camera it's not good. 2. In this price we get many best feature but Charging is bit slow.3. For low budget it is the perfect mobile phone.
7,5,Mind-blowing purchaseThank You Poco for manufacturing this Phone... Iam totally satisfied with the product keeping in mind the price of the phone...I think at this price segment it's the best choice .....Impressed by the build quality.Portrait mode works absolutely fine.. And a special thanks to flipkart team for delivering this in less than 24 hours...
8,5,"Best in the market!1) Delivery on time, Properly packed with bill copy2) In the box POCO has Mobile (Tempered glass pre installed), Charger, Transparent case cover and Manual.3) Out of the box, visually the phone looks appealing. Rear camera placement and design choice looks good on the phone. 4a) To touch and feel, the rear of the phone feels more like plastic but at the same time it also feels rigid and non slippery cause of the design texture the material offers. 4b) For a big battery it carries, it ..."
9,5,"AwesomeI am writing this review after using this mobile phone for 2 days . First of all,  I would like to thanks POCO for manufacturing this wonderful phone. Look : The design of the phone is quite attractive with a different back camera panel having a logo ""poco"" of the company. Body colour texture is excellent. It looks quite premium product. With a plastic back cover, there will be no fingerprint stick with your phone. Although, due to high capacity battery, you may feel little bit heavy on you..."
10,5,Mind-blowing purchaseU will never get this specs for this price...decent buy..Positives:1) Performance is very good...u can play pubg with low graphics neatly..6gb ram helps mob to never slowdown...5 star for performance for this price2)decent battery backup..6000mah battery makes u charge only once a day..3)decent design... although plastic body poco makes it to look attractive4)sterio speakers makes sound lound and u will experience different listening although upper speaker little bit lower than down one....
11,4,Worth the moneyThis phone is pretty decent Battery backup and display quality is very good at this price rangeSpeacker sound quality is also  goodPerformance is pretty fast .But only low and balance and high frame rate support on pubg.Camera quality is good.
12,4,Good quality productI received my Poco M3 today (delivered by Ekart in 2 days). These are my first impressions. Design and build: Fits well in hand and it's side mounted finger print scanners ls also placed in an optimal location. A simple plastic back with curved edges.  Feels little heavy. Display: Looks stunning with great colours and balanced and adaptive brightness. It's Full HD+ display is Ideal for watching videos. 60Hz refresh rate is good considering the budget but as I shifted from high end one plu...
13,5,Highly recommendedEverything is better of the phone except of front camera Front camera is not as expected and photos are looks like normal cameras Apart from this battery is superrrbbbLook it hot Performance is good Rear camera is great Speaker :- Works both of the speaker while playing any sound and sound is awesomeScreen visibility is also great
14,5,Classy productThis product was absolutely good and it is very smooth and very useful battery very good camera and very used sensor this phone I guess you wearing this 3 phone and enjoy this life and a party time have a fun day
15,3,NiceThank you Flipkart for such a nice mobile in such a great deal. Phone camera performance is good i like it
16,5,Classy productThis phone is excellent and it's camera is also excellent and battery backup is good according to its price it is awesome I am very happy to purchase this phone😍😍😍
17,5,"ExcellentToday I have got this phone, this is very good phone in this Price. After use this phone, only front camera is little bit down and other than I'm very happy😊 thank you flipkart for faster delivery."
18,5,Worth every pennyGood Phone battery And camera This price price point good Phone color is so cool 😁😁😁😁😁I will get fast sale thank you Flipkart 🥰🥰
19,5,"WonderfulI received my Poco M3 today (delivered by Ekart in 2 days). These are my first impressions.Design and build: Fits well in hand and it's side mounted finger print scanners ls also placed in an optimal location. A simple plastic back with curved edges. Feels little heavy.Display: Looks stunning with great colours and balanced and adaptive brightness. It's Full HD+ display is Ideal for watching videos. 60Hz refresh rate is good considering the budget but as I shifted from high end one plus, ..."
20,4,"Worth the moneyThe phone is quite good and value for money.* Camera is kind of okay, can't complaint while considering the price.* Battery is above average, will stand for at least one and a half day for normal use. For heavy user's, I think it might stand for one day.* Display is IPS LCD display which work's very well and the quality is good for the price; also it is best display in among LCD .* Performance is satisfying, the Chipset handle's daily tasks smoothly and as this is a mid-range Chipset ..."
21,4,"Pretty goodPoco M3 is not for high end graphics games/gamers. This phone has very minor lags.This has Good battery life , decent processor , durable and excellent designAs per the specification camera is the worst in this phonebut the photo quality is good and better if clicked via gcam 8.1 apk64 gb is good but 128 gb is better for Poco m3 because it has UFS 2.2 , this can increase the phone speed a little bit.Display is decent for this price. Charging speed is low.  ir blaster and 6gb ram is impre..."
22,5,"Classy productThis is my geniune review with POCO M3.Basically I am a one plus 8 User and purchased M3 Just for its design. I have purchased 2 varients of yellow color with 6gb 64gb.first of all I would say stay away from the negitive reviews.My honest review is, If you are looking for a great phone under 10-11k, definitely go for M3 6gb 64gb.As mentioned earlier, i have purchased 2 phones, I have not faced any lag, heat issue, battery issue and nothing.Display is really good in this price segment...."
23,4,"WonderfulIt's a globally launched phone and I needed a back up phone immediately after my OnePlus 7pro got stolen, so got it delivered next day and is been using this phone for past weeks. So the best thing is the screen and battery back up which continues for me for a full day though charging speed is slow and performance also slow but manageable. Front camera not upto the mark and back camera is better as this price range. Miui 12 is buggy and still needs updates for stability.I had to reinstall th..."
24,3,Does the jobHonest review after 1 week useNegative point1.low quality camera like 8mp2.battery not 6000mah it's like 4500mah3.Slow charging 100% charge take 5.5h4.Ram not 6gb it's like 4.5gbOverall good
25,1,"Horrible Phone at this priceBattery is not good as shown, with regular use hardly last one day even in fresh new condition.Upon using for an hour for zoom call, the phone started to heat up too much.Camera is pathetic, even Redmi Note 4 camera is of same quality for pictures.Display is also average and so as touch screen, many times touch sensor not working, u need to try twice or thrice.Finger sensor also not working properly.Overall not a good phone even in budget range as most of the features given in specificat..."
26,4,Pretty goodPhone looks sturdy and the display is great...sound is the best thing about the phone...buttons are nicely placed. front camera is not so good..but back camera is nice. overall a nice phone
27,1,"Hated it!Battery is not good as shown, with regular use hardly last one day even in fresh new condition. Camera is pathetic, even redmi 4 camera is of same quality for pictures. Display is also average and so as touch screen, many times touch sensor not working, u need to try twice or thrice. Finger sensor also not working properly. Overall not a good phone even in budget range as most of the features given in specifications are only on paper and not in practical."
28,5,Best in the market!Excellent Phone total value for money camera is good display is excellent and battery is too good. Loved it....
29,2,Expected a better productAfter around 1 month of usage-Even though its a budget phone the intial days Mi Note  3 worked well than this. It sometimes get hanged and when I tried to download a 1 gb file from internet. It restarted itself.So performance wise not good.Nothing is great. Can't have a Google feed normally also.Feeling likw giving it back
